//X Y Z R G B
-22.40537262 9.59656715 -2.48321295 170 0 0
-22.46589470 9.79050827 -2.45621395 170 0 0
-22.42624283 9.60559082 -2.47332191 170 0 0
-22.39825821 9.63052368 -2.46957588 170 0 0
-22.37921143 9.64718342 -2.47419810 170 0 0
-22.39641762 9.69637680 -2.46339393 170 0 0
-22.35537148 9.66181946 -2.47771597 170 0 0
-22.20061493 9.66814518 -2.51066494 170 0 0
-22.42216873 9.90264797 -2.46560407 170 0 0
-22.11845589 9.73086357 -2.50540805 170 0 0
-22.29828835 9.59975910 -2.51233792 170 0 0
-22.37292862 9.82494926 -2.46975994 170 0 0
-22.34741402 9.91571236 -2.47232199 170 0 0
-22.17275620 9.73354816 -2.50529790 170 0 0
-22.15401459 9.68522263 -2.51134896 170 0 0
-22.35201836 9.64753628 -2.48364210 170 0 0
-22.37254715 9.64429379 -2.47704291 170 0 0
-22.24911690 9.64932346 -2.51097703 170 0 0
-22.31537056 9.60912704 -2.50798392 170 0 0
-22.45145035 9.76097202 -2.45701694 170 0 0
-22.20718575 9.74529171 -2.49993610 170 0 0
-22.45245361 9.70182514 -2.45349312 170 0 0
-22.37845612 9.65906525 -2.47083211 170 0 0
-22.41490364 9.62559223 -2.46745992 170 0 0
-22.31628036 9.68186378 -2.48508596 170 0 0
-22.45829201 9.79486370 -2.45917892 170 0 0
-22.22926903 9.74294662 -2.49371791 170 0 0
-22.36011505 9.85029602 -2.47001195 170 0 0
-22.39535141 9.62924099 -2.47257590 170 0 0
-22.25388527 9.72909641 -2.49065089 170 0 0
-22.22187996 9.80145264 -2.48445201 170 0 0
-22.30601311 9.64589691 -2.50257707 170 0 0
-22.33489037 9.85116482 -2.47434092 170 0 0
-22.32463455 9.86284828 -2.47257209 170 0 0
-22.23100853 9.71901226 -2.50047112 170 0 0
-22.38417625 9.60002422 -2.49016690 170 0 0
-22.40547180 9.67157841 -2.46249390 170 0 0
-22.22587585 9.71675110 -2.50168300 170 0 0
-22.42637444 9.84186935 -2.46440101 170 0 0
-22.18262672 9.68527412 -2.50988507 170 0 0
-22.26477623 9.85760498 -2.47742891 170 0 0
-22.33737183 9.62896347 -2.49764705 170 0 0
-22.23654938 9.64700985 -2.51511097 170 0 0
-22.37519836 9.90663624 -2.46868896 170 0 0
-22.46885872 9.81030083 -2.45731091 170 0 0
-22.36796188 9.60519791 -2.49711299 170 0 0
-22.37518692 9.60835171 -2.49085498 170 0 0
-22.29890442 9.71121120 -2.48282409 170 0 0
-22.43312645 9.88255501 -2.46243310 170 0 0
-22.40700531 9.72145462 -2.46008706 170 0 0
-22.32944489 9.71664143 -2.47770190 170 0 0
-22.18461990 9.79738522 -2.49169493 170 0 0
-22.30126572 9.66264725 -2.49715590 170 0 0
-22.15420151 9.74662113 -2.50425792 170 0 0
-22.25733376 9.74278164 -2.48426008 170 0 0
-22.38028526 9.70981407 -2.46597195 170 0 0
-22.18368912 9.78394318 -2.49443102 170 0 0
-22.31184959 9.82220840 -2.47523904 170 0 0
-22.21089172 9.82488346 -2.48545289 170 0 0
-22.40613174 9.65888786 -2.46326399 170 0 0
-22.33562279 9.65320015 -2.48769903 170 0 0
-22.39218140 9.57828617 -2.49718595 170 0 0
-22.21819878 9.76244736 -2.49198508 170 0 0
-22.37815094 9.83300114 -2.46778011 170 0 0
-22.29609108 9.62080765 -2.50792289 170 0 0
-22.28860474 9.62047005 -2.50656199 170 0 0
-22.41125298 9.72331429 -2.45898795 170 0 0
-22.37436867 9.60798264 -2.49255109 170 0 0
-22.39078331 9.62726021 -2.47563291 170 0 0
-22.42722702 9.83194637 -2.46613693 170 0 0
-22.36801720 9.59683418 -2.50205898 170 0 0
-22.35810089 9.60091305 -2.50307298 170 0 0
-22.33206558 9.81268692 -2.47308993 170 0 0
-22.40547943 9.90759373 -2.46779490 170 0 0
-22.21537399 9.66270542 -2.51048994 170 0 0
-22.36913872 9.75067139 -2.46677089 170 0 0
-22.34370232 9.63068199 -2.49621296 170 0 0
-22.43819618 9.74735928 -2.45570302 170 0 0
-22.29445839 9.65966415 -2.50160599 170 0 0
-22.40603638 9.64654732 -2.46462607 170 0 0
-22.34153557 9.66799259 -2.47998810 170 0 0
-22.45217705 9.80298519 -2.46071792 170 0 0
-22.23908234 9.64812565 -2.51192594 170 0 0
-22.37736130 9.68818760 -2.47014689 170 0 0
-22.21109390 9.66081047 -2.51540995 170 0 0
-22.31040764 9.86544323 -2.47484899 170 0 0
-22.37664604 9.70821762 -2.46739697 170 0 0
-22.31696892 9.63274479 -2.50443792 170 0 0
-22.38385010 9.86078262 -2.46723795 170 0 0
-22.28792572 9.84318542 -2.47689795 170 0 0
-22.44935989 9.82686520 -2.46193194 170 0 0
-22.39983749 9.66834164 -2.46445608 170 0 0
-22.17700577 9.68278694 -2.51279902 170 0 0
-22.34151840 9.74261093 -2.47259402 170 0 0
-22.43444824 9.62180138 -2.46426010 170 0 0
-22.45929718 9.74422264 -2.45383406 170 0 0
-22.40314293 9.66978455 -2.46326089 170 0 0
-22.38277054 9.89556885 -2.47117901 170 0 0
-22.40158463 9.80590534 -2.46353006 170 0 0
-22.21772957 9.66374588 -2.50912809 170 0 0
-22.27250099 9.67356396 -2.50310111 170 0 0
-22.39314651 9.83243084 -2.46746898 170 0 0
-22.21676636 9.72628880 -2.50162292 170 0 0
-22.43560028 9.68387699 -2.45460296 170 0 0
-22.26375198 9.69575405 -2.50001597 170 0 0
-22.19299698 9.67746735 -2.51222992 170 0 0
-22.34007072 9.58094215 -2.51015997 170 0 0
-22.19260979 9.76358223 -2.49794292 170 0 0
-22.35414314 9.68575668 -2.47496605 170 0 0
-22.28904724 9.72198296 -2.48254800 170 0 0
-22.22618294 9.82808876 -2.48288107 170 0 0
-22.39552307 9.79131222 -2.46237612 170 0 0
-22.19025230 9.79918480 -2.49177289 170 0 0
-22.32537842 9.83409500 -2.47457600 170 0 0
-22.41063118 9.64854336 -2.46332502 170 0 0
-22.37561417 9.78255844 -2.46735811 170 0 0
-22.22813606 9.75456810 -2.48989797 170 0 0
-22.21308899 9.69040966 -2.50775099 170 0 0
-22.36400604 9.58823967 -2.50541091 170 0 0
-22.35408211 9.84762192 -2.47096491 170 0 0
-22.32570267 9.73814201 -2.47712207 170 0 0
-22.37018204 9.71608639 -2.46749997 170 0 0
-22.29463577 9.79619408 -2.47591209 170 0 0
-22.37265587 9.75576496 -2.46731997 170 0 0
-22.38182640 9.68552685 -2.46873689 170 0 0
-22.29524231 9.87112427 -2.47561193 170 0 0
-22.24705124 9.76291847 -2.48497295 170 0 0
-22.27860451 9.82286358 -2.47889900 170 0 0
-22.34227562 9.73019695 -2.47182608 170 0 0
-22.27726746 9.69004917 -2.49719310 170 0 0
-22.27676010 9.72610474 -2.48498392 170 0 0
-22.28875351 9.78129864 -2.47727704 170 0 0
-22.31791687 9.64616966 -2.49970293 170 0 0
-22.36547470 9.81506348 -2.46994209 170 0 0
-22.37151718 9.63151932 -2.48528409 170 0 0
-22.25083351 9.66547775 -2.50691700 170 0 0
-22.37456131 9.72850418 -2.46765399 170 0 0
-22.24228668 9.74909878 -2.48970199 170 0 0
-22.46104813 9.75730133 -2.45469308 170 0 0
-22.38406372 9.72292900 -2.46517897 170 0 0
-22.34826660 9.78219223 -2.47178006 170 0 0
-22.33125114 9.73811722 -2.47488594 170 0 0
-22.27175522 9.73157501 -2.48740292 170 0 0
-22.20469284 9.76894665 -2.49227691 170 0 0
-22.33101654 9.70057106 -2.47704506 170 0 0
-22.38331795 9.64898682 -2.47124791 170 0 0
-22.41880608 9.66440201 -2.45757699 170 0 0
