//X Y Z R G B
-23.02960014 9.38494873 -2.33606195 170 0 0
-23.02463150 9.42055416 -2.35930705 170 0 0
-23.00311089 9.48112965 -2.36891508 170 0 0
-22.97586060 9.53722477 -2.29490304 170 0 0
-23.09166145 9.38540840 -2.30468297 170 0 0
-23.13988304 9.70718956 -2.37036610 170 0 0
-23.09495926 9.50983906 -2.27375388 170 0 0
-23.02841377 9.52286339 -2.28963494 170 0 0
-23.05425262 9.45185661 -2.28347206 170 0 0
-23.43650627 9.75032902 -2.38195610 170 0 0
-23.18764305 9.37433720 -2.31072903 170 0 0
-23.07091713 9.52838135 -2.25592899 170 0 0
-23.03632927 9.51346016 -2.34418607 170 0 0
-22.95547104 9.38665676 -2.35415697 170 0 0
-23.03947830 9.59054756 -2.32316709 170 0 0
-22.95981026 9.55697346 -2.37366009 170 0 0
-23.19650650 9.61533260 -2.31534410 170 0 0
-23.01979637 9.38088417 -2.34627390 170 0 0
-23.07613182 9.52050495 -2.29641294 170 0 0
-23.07411194 9.39043808 -2.31573296 170 0 0
-23.01229668 9.50346661 -2.35149193 170 0 0
-23.36088181 9.66847420 -2.33161998 170 0 0
-23.01314545 9.63670063 -2.37694097 170 0 0
-23.07818031 9.49324036 -2.26006198 170 0 0
-23.03633499 9.48242188 -2.33766508 170 0 0
-23.02025032 9.65840435 -2.32891703 170 0 0
-23.12631798 9.38711834 -2.32971501 170 0 0
-22.99130630 9.43240547 -2.24303699 170 0 0
-22.92416573 9.41751480 -2.35118389 170 0 0
-23.02838326 9.63612366 -2.28058004 170 0 0
-23.19604492 9.67661858 -2.33690810 170 0 0
-23.06203079 9.46103382 -2.30445194 170 0 0
-23.18680954 9.37398148 -2.31218791 170 0 0
-23.09284019 9.61243916 -2.29514503 170 0 0
-23.04408073 9.51685047 -2.31759691 170 0 0
-23.07740593 9.54332924 -2.26484799 170 0 0
-23.05249977 9.45753193 -2.29216409 170 0 0
-23.09812737 9.47632599 -2.23821092 170 0 0
-23.10356331 9.74330235 -2.37141109 170 0 0
-23.09151268 9.35977268 -2.27345991 170 0 0
-23.07397461 9.52180386 -2.26089191 170 0 0
-23.02957726 9.44813919 -2.24221706 170 0 0
-22.98500443 9.58051872 -2.30574107 170 0 0
-23.18617058 9.38620281 -2.31832290 170 0 0
-23.06074905 9.39788532 -2.30560493 170 0 0
-23.38494492 9.69640636 -2.36914206 170 0 0
-23.07234764 9.52872944 -2.29033399 170 0 0
-23.22890472 9.61830330 -2.31551194 170 0 0
-23.11406898 9.38220024 -2.32208109 170 0 0
-23.04326439 9.55963516 -2.34781694 170 0 0
-23.04074287 9.41494179 -2.34606194 170 0 0
-23.14929771 9.48423862 -2.24559808 170 0 0
-23.09236336 9.56228256 -2.27643704 170 0 0
-23.05642509 9.45892620 -2.27714109 170 0 0
-23.00890732 9.64033604 -2.36911297 170 0 0
-23.09121513 9.41026402 -2.31335807 170 0 0
-23.08831215 9.72816753 -2.32644010 170 0 0
-22.97517204 9.51296902 -2.37823009 170 0 0
-23.04319572 9.63062477 -2.24499202 170 0 0
-23.35095978 9.61311531 -2.30803108 170 0 0
-23.07537651 9.52999783 -2.28904510 170 0 0
-23.02005196 9.48151207 -2.33213210 170 0 0
-22.99422073 9.64737511 -2.35728908 170 0 0
-23.10306931 9.73422527 -2.38294697 170 0 0
-22.96279144 9.43346596 -2.34215403 170 0 0
-23.11687279 9.69879723 -2.35815597 170 0 0
-23.13646507 9.68918991 -2.32626009 170 0 0
-23.36469460 9.62549400 -2.29540896 170 0 0
-23.17980766 9.38276958 -2.31110311 170 0 0
-23.08749771 9.56033802 -2.26510596 170 0 0
-23.06038666 9.41045094 -2.37218404 170 0 0
-23.06420898 9.38667583 -2.33400893 170 0 0
-23.01242638 9.39116478 -2.32830596 170 0 0
-23.04540062 9.44140434 -2.32950401 170 0 0
-23.39500427 9.73154831 -2.36315298 170 0 0
-23.06531715 9.58868885 -2.35227609 170 0 0
-23.03297234 9.52519989 -2.29472709 170 0 0
-23.01328850 9.42809677 -2.34891510 170 0 0
-23.04116821 9.49001217 -2.30099201 170 0 0
-23.00956917 9.43943024 -2.36679101 170 0 0
-22.93525314 9.42203426 -2.35718393 170 0 0
-23.08603859 9.40787983 -2.29549909 170 0 0
-23.09027863 9.70014572 -2.35575390 170 0 0
-23.07052994 9.52823830 -2.25270009 170 0 0
-23.03976631 9.57841873 -2.29995894 170 0 0
-23.08788109 9.39615059 -2.35896993 170 0 0
-23.04214287 9.46618843 -2.27528095 170 0 0
-23.06048012 9.43574619 -2.28938699 170 0 0
-23.21001244 9.38325310 -2.33035111 170 0 0
-23.00933266 9.55838680 -2.31165290 170 0 0
-23.01846886 9.64423656 -2.38504505 170 0 0
-23.02277946 9.67147923 -2.32946610 170 0 0
-23.05774498 9.65202808 -2.32649493 170 0 0
-22.98446465 9.54254246 -2.31357098 170 0 0
-23.09346008 9.58777046 -2.25686693 170 0 0
-23.07774162 9.60066223 -2.33402896 170 0 0
-22.99381828 9.46611309 -2.33739901 170 0 0
-23.02950478 9.56092358 -2.36330009 170 0 0
-23.00011253 9.42163181 -2.30882311 170 0 0
-23.05281830 9.50770187 -2.34072590 170 0 0
-23.14726639 9.53415489 -2.24761391 170 0 0
-23.05413628 9.48329926 -2.26552606 170 0 0
-23.11484337 9.57148647 -2.29257798 170 0 0
-23.05948448 9.58849716 -2.35231495 170 0 0
-23.04108429 9.57882595 -2.31908011 170 0 0
-23.06259727 9.46763802 -2.25687408 170 0 0
-23.06739426 9.62771988 -2.26440597 170 0 0
-23.18623352 9.72185230 -2.37189102 170 0 0
-23.00462914 9.50053024 -2.37615299 170 0 0
-23.04908943 9.65680504 -2.34051108 170 0 0
-23.06660461 9.60173321 -2.34038305 170 0 0
-23.01713562 9.39299870 -2.34012604 170 0 0
-23.33868217 9.57845688 -2.31987691 170 0 0
-23.02565956 9.50847340 -2.37880802 170 0 0
-23.05844307 9.46981335 -2.32658696 170 0 0
-22.97996521 9.53461456 -2.38053489 170 0 0
-23.09804916 9.47634697 -2.23064709 170 0 0
-23.21712685 9.70532227 -2.31078100 170 0 0
-23.09290695 9.58747005 -2.26769710 170 0 0
-23.10214233 9.60640907 -2.27999496 170 0 0
-23.08138084 9.53228855 -2.24915791 170 0 0
